155	太	232918
156	路	232737
157	起	228817
158	己	228330
159	相	224206
160	主	224073
161	關	222896
162	十	222525
163	間	221727
164	鳳	218326
165	外	217422
166	呢	217180
167	覺	216291
168	使	216201
169	該	216069
170	友	214814
171	才	214782
172	進	212481
173	凰	211767
174	她	211517
175	民	211274
176	著	210770
177	各	210520
178	全	207034
179	將	206982
180	少	206744
181	兩	206181
182	加	205509
183	回	205155
184	感	203436
185	式	202729
186	第	202411
187	球	199740
188	性	199183
189	老	198538
190	程	197707
191	把	197579
192	被	197413
193	公	195727
194	論	193909
195	及	193509
196	龍	192863
197	校	192451
198	別	190394
199	體	190332
200	重	190069
201	給	189973
202	聽	188903
203	水	186822
204	做	186770
205	常	185860
206	您	185118
207	見	183680
208	裡	183675
209	東	183624
210	風	182757
211	解	180531
212	灣	178502
213	月	177519
214	等	177504
215	啦	177091
216	部	176255
217	原	174329
218	美	173127
219	先	172122
220	音	170924
221	通	170230
222	管	170135
223	網	169776
224	區	169166
225	期	168934
226	錯	168867
227	否	168690
228	樂	168280
229	入	167507
230	找	166755
231	書	166626
232	讓	166049
233	四	165306
234	啊	164734
235	由	163832
236	選	163162
237	較	161783
238	數	161281
239	表	160779
240	內	160755
241	場	160542
242	它	160436
243	從	160052
244	快	159776
245	歡	159365
246	至	158841
247	立	158292
248	目	157966
249	社	156267
250	合	156030
251	望	155460
252	怎	154174
253	認	153895
254	告	153380
255	更	152691
256	幾	151638
257	考	148422
258	度	147388
259	難	147058
260	版	146807
261	頭	146705
262	喜	146563
263	許	145559
264	光	145520
265	今	143560
266	買	143064
267	算	142333
268	弟	141812
269	若	141796
270	統	141769
271	身	141638
272	記	141428
273	代	141314
274	號	140616
275	處	139649
276	完	138826
277	接	137368
278	計	137149
279	言	136534
280	字	135740
281	師	135409
282	並	135265
283	政	134882
284	玩	134519
285	張	134407
286	男	133706
287	誰	132063
288	山	131818
289	每	131090
290	結	129335
291	且	128957
292	星	128833
293	非	128617
294	建	128612
295	改	128407
296	連	127418
297	放	126684
298	哈	125750
299	活	125568
300	研	125550
301	直	125478
302	設	125381
303	陳	125249
304	報	125240
305	轉	125171
306	黨	125116
307	指	123022
308	五	122901
309	變	122633
310	氣	121890
311	西	121877
312	試	121652
313	希	120764
314	神	119932
315	取	119840
316	化	119804
317	物	119523
318	王	119466
319	任	117100
320	林	116983
321	單	116886
322	世	116862
323	受	116232
324	近	115913
325	義	115744
326	死	114694
327	便	114674
328	反	114332
329	士	113982
330	戰	113772
331	空	113648
332	隊	112529
333	跟	112513
334	卻	112237
335	北	112186
336	必	112173
337	業	112036
338	功	111553
339	寫	111228
340	影	110761
341	聲	110548
342	平	110325
343	臺	109725
344	員	109155
345	金	108819
346	討	108614
347	色	108485
348	則	108300
349	容	108060
350	檔	107742
351	片	107600
352	向	107020
353	妳	106116
354	市	105637
355	利	105611
356	興	105059
357	白	104398
358	強	104347
359	安	103801
360	央	103704
361	特	103567
362	議	103289
363	辦	102939
364	價	102882
365	總	101978
366	傳	101724
367	思	101505
368	花	101015
369	元	100523
370	叫	100049
371	保	99970
